date,count,domestic brands,overseas brands,unknown brands
200404,3,,,
200405,3,,,
200406,2,,,
200407,3,,,
200408,1,,,
200409,0,,,
200410,4,,,
200411,7,,,
200412,7,,,
200501,11,,,
200502,18,,,
200503,16,,,
200504,23,,,
200505,27,,,
200506,28,,,
200507,24,,,
200508,29,,,
200509,24,,,
200510,34,,,
200511,31,,,
200512,37,,,
200601,27,,,
200602,31,,,
200603,26,,,
200604,54,,,
200605,60,,,
200606,49,,,
200607,57,,,
200608,47,,,
200609,55,,,
200610,53,,,
200611,36,,,
200612,31,,,
200701,48,0,40,8
200702,102,1,26,75
200703,58,6,29,23
200704,37,1,27,9
200705,51,2,31,18
200706,49,0,43,6
200707,97,16,47,34
200708,54,0,46,8
200709,57,0,42,15
200710,50,0,37,13
200711,45,0,25,20
200712,68,0,42,26
200801,50,2,29,19
200802,63,3,38,22
200803,75,1,49,25
200804,37,2,34,1
200805,46,1,42,3
200806,55,4,46,5
200807,35,3,29,3
200808,50,2,48,0
200809,65,3,61,1
200810,69,4,62,3
200811,63,2,53,8
200812,47,4,40,3
200901,51,4,46,1
200902,78,18,53,7
200903,53,3,44,6
200904,55,4,41,10
200905,49,3,43,3
200906,96,51,41,4
200907,94,32,62,0
200908,120,33,81,6
200909,89,39,49,1
200910,135,44,89,2
200911,113,54,57,2
200912,88,43,39,6
201001,108,27,67,14
201002,105,15,68,22
201003,160,35,84,41
201004,134,41,76,17
201005,91,39,42,10
201006,163,77,68,18
201007,125,74,38,13
201008,175,101,44,30
201009,187,103,41,43
201010,252,177,58,17
201011,198,88,91,19
201012,88,19,53,16
201101,122,24,77,21
201102,147,29,94,24
201103,136,31,76,29
201104,100,43,53,4
201105,139,32,83,24
201106,86,43,37,6
201107,71,9,53,9
201108,90,4,77,9
201109,65,18,35,12
201110,93,22,54,17
201111,91,19,58,14
201112,130,24,86,20
201201,115,30,72,13
201202,80,7,55,18
201203,129,21,94,14
201204,143,29,83,31
201205,130,19,87,24
201206,94,20,55,19
201207,88,17,56,15
201208,95,26,54,15
201209,90,14,51,25
201210,130,25,87,18
201211,120,25,71,24
201212,110,24,69,17
201301,149,42,84,23
201302,174,40,103,31
201303,151,30,98,23
201304,107,20,62,25
201305,93,27,37,29
201306,87,25,41,21
201307,127,33,73,21
201308,134,41,68,25
201309,208,91,78,39
201310,160,34,78,48
201311,220,99,74,47
201312,221,120,52,49
201401,196,75,64,57
201402,171,70,70,31
201403,190,84,53,53
201404,165,50,71,44
201405,155,36,79,40
201406,189,81,76,32
201407,221,99,73,49
201408,105,26,63,16
201409,91,14,53,24
201410,146,41,78,27
201411,143,23,91,29
201412,117,11,67,39
201501,225,22,136,67
201502,106,18,52,36
201503,135,14,93,28
201504,191,53,92,46
201505,144,35,74,35
201506,156,44,73,39
201507,189,51,96,42
201508,173,32,97,44
201509,160,30,75,55
201510,163,30,93,40
201511,153,35,88,30
201512,158,59,69,30
201601,190,48,75,67
201602,267,96,95,76
201603,188,45,100,43
201604,205,44,115,46
201605,201,38,108,55
201606,236,44,89,103
201607,166,30,94,42
201608,147,43,73,31
201609,154,33,76,45
201610,139,24,88,27
201611,185,47,106,32
201612,197,63,85,49
201701,191,56,111,24
201702,246,42,161,43
201703,270,85,152,33
201704,225,52,143,30
201705,221,69,115,37
201706,290,88,176,26
201707,308,69,196,43
201708,363,58,253,52
201709,340,46,237,57
201710,265,42,192,31
201711,301,32,216,53
201712,286,43,191,52
201801,297,78,174,45
201802,311,58,212,41
201803,316,72,178,66
201804,311,67,166,78
201805,495,85,298,112
201806,408,76,258,74
201807,442,110,255,77
201808,447,97,287,63
201809,413,102,242,69
201810,453,82,301,70
201811,568,105,330,133
201812,539,95,354,90
201901,506,98,301,107
201902,591,72,430,89
201903,656,88,467,101
201904,614,90,444,80
201905,703,128,467,108
201906,630,160,344,126
201907,1070,278,575,217
201908,1265,168,690,407
201909,1122,227,563,332
201910,1423,345,612,466
201911,1092,269,545,278
201912,1185,275,592,318
202001,1121,256,685,180
202002,1188,250,814,124
202003,1530,388,975,167
202004,1599,542,892,165
202005,1704,396,1153,155
202006,1959,551,1220,188
202007,1842,590,1089,163
202008,1849,607,1047,195
202009,2154,846,986,322
202010,1902,931,697,274
202011,1385,777,385,223
202012,1728,927,547,254
202101,1775,951,634,190
202102,1375,720,494,161
202103,1681,914,572,195
202104,1600,894,480,226
202105,1648,817,431,400
202106,1593,1021,223,349
202107,1681,1032,263,386
202108,2469,1389,516,564
202109,2161,1112,791,258
202110,2331,1395,732,204
202111,2378,1203,839,336
202112,2416,1364,835,217
202201,2341,1427,721,193
202202,1956,1022,771,163
202203,2523,1747,551,225
202204,2636,1861,512,263
202205,2954,2034,745,175
202206,2498,1628,674,196
202207,2480,1410,884,186
202208,2473,1394,854,225
202209,2567,1387,924,256
202210,2406,1413,850,143
202211,1842,888,773,181
202212,2018,1112,767,139
202301,1662,701,794,167
202302,1528,884,438,206
202303,2363,1585,498,280
202304,1940,1127,587,226
202305,2117,1351,482,284
202306,2129,1222,499,408
202307,1723,1052,438,233
202308,1550,980,310,260
202309,1481,997,249,235
202310,1453,894,371,188
202311,1555,1047,278,230
202312,1465,855,467,143
202401,1539,1076,220,243
202402,1534,1134,145,255
202403,1708,1016,380,312
202404,1685,1,101,293,291
202405,1733,1048,336,349
202406,1607,877,332,398
202407,1490,859,250,381
202408,1423,998,204,221
202409,1320,1026,143,151
202410,1620,1177,164,279
202411,1476,1179,173,124
202412,1685,1334,168,183
202501,1585,1270,160,155